material;permittivity;permeability;conductivity;loss_tangent
FOAM_PEI;1.15;1.0;0.0;0.0035
FOAM_PMI;1.1;1.0;0.0;0.0008
FOAM_PU;1.1;1.0;0.0;0.008
FOAM_PVC;1.2;1.0;0.0;0.004
FOAM_PVC_CORECELL;1.56;1.0;0.0;0.0025
FOAM_ROHACELL_31;1.05;1.0;0.0;0.0005
FOAM_ROHACELL_51;1.07;1.0;0.0;0.0006
FOAM_ROHACELL_71;1.1;1.0;0.0;0.0007
FOAM_XPS;1.05;1.0;0.0;0.003
LIQ_FERRITE;12.0;2000.0;0.0;0.02
LIQ_WATER;80.1;1.0;0.0;0.0
MET_ALUMINUM;1.0;1.0;37700000.0;0.0
MET_CARBON;1.0;1.0;33300.0;0.0
MET_CHROMIUM;1.0;1.0;5560000.0;0.0
MET_COPPER;1.0;1.0;58000000.0;0.0
MET_GOLD;1.0;1.0;41000000.0;0.0
MET_INDIUM;1.0;1.0;6440000.0;0.0
MET_IRIDIUM;1.0;1.0;21300000.0;0.0
MET_IRON;1.0;1.0;10400000.0;0.0
MET_LEAD;1.0;1.0;4840000.0;0.0
MET_MAGNESIUM;1.0;1.0;23800000.0;0.0
MET_NICHROME;1.0;1.0;909000.0;0.0
MET_NICKEL;1.0;1.0;11400000.0;0.0
MET_PALLADIUM;1.0;1.0;9420000.0;0.0
MET_PLATINUM;1.0;1.0;9420000.0;0.0
MET_RHODIUM;1.0;1.0;22200000.0;0.0
MET_SILVER;1.0;1.0;62900000.0;0.0
MET_TANTALUM;1.0;1.0;6440000.0;0.0
MET_TANTALUM_NITRIDE;1.0;1.0;397000.0;0.0
MET_TIN;1.0;1.0;8660000.0;0.0
MET_TITANIUM;1.0;1.0;1820000.0;0.0
MET_TUNGSTEN;1.0;1.0;17900000.0;0.0
MET_ZINC;1.0;1.0;17600000.0;0.0
MET_ZIRCONIUM;1.0;1.0;24400000.0;0.0
MU_METAL;1.0;200000.0;1000000.0;0.0
PEC;1.0;1.0;1e+30;0.0
SEMI_AL2O3;9.8;1.0;0.0;0.0002
SEMI_ALN;8.6;1.0;0.0;0.0003
SEMI_DIAMOND;5.5;1.0;0.0;5e-05
SEMI_GAAS;13.1;1.0;0.0;0.0016
SEMI_GA_N;8.9;1.0;0.0;0.002
SEMI_GERMANIUM;16.0;1.0;0.0;0.001
SEMI_HBN;4.0;1.0;0.0;0.0001
SEMI_INP;12.5;1.0;0.0;0.0015
SEMI_SAPPHIRE;9.4;1.0;0.0;0.0001
SEMI_SILICON;11.7;1.0;0.0;0.005
SEMI_SILICON_N;7.5;1.0;0.0;0.0003
SEMI_SILICON_OXIDE;3.9;1.0;0.0;0.0001
SEMI_SIOXNY;5.0;1.0;0.0;0.002
VACUUM;1.0;1.0;0.0;0.0
